Unnamed: 0,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
3754,59.0,Company Invited,0,22.0,Salaried,2,2,3,4,0,1,4.0,1,0,1,1,AVP,34465.0
1657,55.0,Self Enquiry,0,20.0,Small Business,2,2,0,2,1,2,1.0,0,0,1,1,VP,33722.0
4629,34.0,Company Invited,0,7.0,Salaried,1,2,1,1,1,1,3.0,1,2,1,1,Manager,24166.0
3842,34.0,Company Invited,0,14.0,Salaried,2,2,3,1,0,1,3.0,0,4,1,2,Manager,24646.0
2066,35.0,Self Enquiry,0,6.0,Salaried,1,1,0,0,0,2,4.0,0,2,1,1,Executive,17506.0
2377,44.0,Self Enquiry,0,29.0,Small Business,2,2,2,0,2,2,1.0,0,2,0,2,Executive,33213.0
4739,30.0,Self Enquiry,0,15.0,Small Business,2,3,4,1,0,1,3.0,1,2,1,2,Manager,23734.0
1451,38.0,Self Enquiry,2,16.0,Salaried,1,2,2,1,0,1,2.0,0,3,0,2,Manager,20343.0
3838,33.0,Self Enquiry,0,12.0,Salaried,2,2,4,1,0,3,2.0,0,0,0,2,Manager,28357.0
1005,29.0,Self Enquiry,1,23.0,Salaried,2,1,3,3,2,3,2.0,0,2,0,0,Senior Manager,22988.0
1925,33.0,Self Enquiry,0,6.0,Small Business,1,2,0,4,0,1,5.0,0,0,1,0,AVP,31184.0
891,44.0,Self Enquiry,0,8.0,Salaried,1,2,0,0,0,0,2.0,0,3,1,0,Executive,17011.0
3069,46.0,Self Enquiry,2,16.0,Small Business,2,3,3,3,2,1,6.0,1,1,1,1,Senior Manager,29439.0
2385,21.0,Company Invited,2,24.0,Small Business,1,2,2,1,0,1,1.0,1,4,0,1,Manager,17625.0
3232,29.0,Self Enquiry,0,17.0,Salaried,1,2,3,1,0,3,5.0,0,3,1,2,Manager,22338.0
2349,60.0,Self Enquiry,2,13.0,Small Business,2,1,0,1,0,1,1.0,1,4,0,0,Manager,20220.0
2016,29.0,Self Enquiry,2,16.0,Salaried,2,2,2,0,0,2,2.0,0,3,1,0,Executive,17642.0
747,38.0,Self Enquiry,2,9.0,Salaried,2,1,2,1,0,3,1.0,1,2,1,1,Manager,21861.0
56,35.0,Company Invited,2,24.0,Salaried,2,2,2,3,2,0,2.0,0,3,1,0,Senior Manager,24069.0
4755,25.0,Self Enquiry,0,31.0,Small Business,2,2,3,0,1,3,2.0,0,4,0,2,Executive,22275.0
3352,34.0,Self Enquiry,2,17.0,Small Business,2,2,1,3,0,1,2.0,1,3,1,2,Senior Manager,27058.0
4440,40.0,Self Enquiry,0,9.0,Large Business,1,3,4,1,0,3,3.0,0,0,1,2,Manager,23231.0
53,35.0,Company Invited,0,17.0,Small Business,2,2,3,3,2,0,3.0,1,4,1,1,Senior Manager,24884.0
753,39.0,Company Invited,0,28.0,Small Business,0,1,2,3,2,3,2.0,1,4,1,0,Senior Manager,25880.0
1548,37.0,Self Enquiry,0,13.0,Small Business,2,0,2,3,0,2,5.0,0,0,0,0,Senior Manager,28664.0
1613,30.0,Self Enquiry,0,24.0,Salaried,1,2,2,0,0,2,2.0,0,0,1,2,Executive,17632.0
3554,36.0,Self Enquiry,0,9.0,Salaried,1,3,3,0,2,1,3.0,1,0,1,2,Executive,20752.0
3439,44.0,Self Enquiry,0,13.0,Small Business,1,3,4,1,0,3,3.0,1,3,1,2,Manager,22759.0
610,27.0,Self Enquiry,0,11.0,Large Business,2,1,3,3,0,1,2.0,1,2,0,0,Senior Manager,27808.0
4864,32.0,Self Enquiry,1,29.0,Salaried,2,2,5,0,0,1,3.0,0,0,0,2,Executive,28530.0
501,30.0,Company Invited,0,9.0,Small Business,1,2,2,0,0,1,2.0,0,2,1,1,Executive,17083.0
307,38.0,Self Enquiry,0,31.0,Salaried,1,1,3,3,1,0,4.0,0,2,1,0,Senior Manager,27061.0
3001,36.0,Company Invited,0,9.0,Salaried,1,3,3,1,2,1,4.0,0,3,0,1,Manager,23771.0
4038,32.0,Self Enquiry,2,13.0,Salaried,2,3,5,1,0,1,6.0,1,2,0,3,Manager,24850.0
1560,40.0,Company Invited,0,6.0,Salaried,2,2,3,4,1,1,2.0,0,0,1,1,AVP,28503.0
1733,46.0,Self Enquiry,2,8.0,Large Business,1,2,4,4,1,1,4.0,1,4,1,0,AVP,31872.0
852,29.0,Self Enquiry,0,12.0,Small Business,1,1,2,0,0,0,2.0,0,2,0,0,Executive,18131.0
3010,48.0,Company Invited,2,34.0,Salaried,0,3,1,1,0,3,6.0,1,3,1,3,Manager,25075.0
1970,32.0,Self Enquiry,0,15.0,Salaried,1,2,2,1,0,1,2.0,1,4,1,2,Manager,21322.0
4887,36.0,Self Enquiry,0,14.0,Salaried,2,3,3,0,1,3,3.0,1,2,1,2,Executive,24041.0
2793,30.0,Company Invited,2,9.0,Salaried,2,3,3,1,0,0,3.0,0,1,1,2,Manager,23327.0
3266,35.0,Company Invited,0,9.0,Salaried,2,3,3,1,0,3,4.0,0,3,1,3,Manager,22711.0
4470,54.0,Self Enquiry,0,13.0,Salaried,2,2,3,1,0,2,4.0,0,4,1,2,Manager,21128.0
4292,35.0,Company Invited,2,26.0,Small Business,2,3,1,1,0,3,2.0,1,0,0,1,Manager,23982.0
4605,41.0,Company Invited,0,16.0,Small Business,2,2,3,0,1,1,2.0,1,3,0,1,Executive,22295.0
4027,25.0,Self Enquiry,0,25.0,Salaried,2,2,3,0,0,1,2.0,0,3,0,1,Executive,21452.0
3884,37.0,Company Invited,0,11.0,Salaried,1,3,3,1,1,1,2.0,0,2,1,2,Manager,23809.0
1106,30.0,Self Enquiry,2,6.0,Salaried,2,2,3,1,2,1,2.0,0,3,1,1,Manager,24714.0
3802,32.0,Self Enquiry,2,17.0,Small Business,1,2,3,1,0,1,4.0,1,0,0,1,Manager,25261.0
2807,34.0,Self Enquiry,2,12.0,Small Business,1,2,3,0,0,3,3.0,1,1,1,1,Executive,21529.0
689,20.0,Self Enquiry,0,10.0,Large Business,2,1,2,0,2,2,2.0,0,2,1,1,Executive,17973.0
3627,37.0,Self Enquiry,0,10.0,Salaried,2,3,1,1,2,1,8.0,0,0,1,3,Manager,25520.0
1686,30.0,Company Invited,2,32.0,Small Business,1,1,3,1,2,3,6.0,0,0,1,1,Manager,21696.0
4423,34.0,Company Invited,0,13.0,Salaried,2,1,3,1,0,1,5.0,0,4,1,1,Manager,26403.0
2706,33.0,Self Enquiry,0,9.0,Large Business,2,2,4,1,2,2,6.0,0,3,0,2,Manager,20854.0
4136,38.0,Company Invited,0,18.0,Salaried,2,2,3,3,0,1,3.0,1,2,1,2,Senior Manager,30863.0
3786,35.0,Self Enquiry,2,11.0,Salaried,2,3,3,3,0,1,4.0,1,3,0,3,Senior Manager,28391.0
3595,29.0,Self Enquiry,0,34.0,Small Business,1,2,5,1,2,1,2.0,0,3,1,1,Manager,23886.0
2805,41.0,Self Enquiry,0,17.0,Salaried,1,2,2,0,0,0,5.0,1,2,0,2,Executive,20891.0
1575,59.0,Company Invited,1,8.0,Salaried,1,1,3,2,0,1,1.0,0,0,0,1,VP,33844.0
4828,56.0,Company Invited,2,9.0,Salaried,1,2,4,0,0,2,2.0,0,4,0,1,Executive,32255.0
3059,28.0,Company Invited,0,10.0,Small Business,2,2,3,0,0,0,3.0,0,1,1,1,Executive,20384.0
2448,28.0,Self Enquiry,0,9.0,Small Business,2,2,3,0,1,0,2.0,0,4,1,1,Executive,22146.0
1350,27.0,Self Enquiry,2,8.0,Small Business,1,1,0,1,0,3,1.0,0,0,0,1,Manager,21500.0
1947,50.0,Company Invited,1,9.0,Small Business,2,2,2,2,1,1,2.0,0,0,1,2,VP,33200.0
2012,38.0,Self Enquiry,0,6.0,Salaried,1,1,2,3,0,3,5.0,1,0,0,1,Senior Manager,22861.0
116,34.0,Self Enquiry,0,11.0,Small Business,0,1,3,3,2,3,3.0,0,1,0,0,Senior Manager,26631.0
1701,42.0,Self Enquiry,0,10.0,Large Business,2,1,2,2,0,1,2.0,0,0,0,0,VP,34232.0
4537,31.0,Company Invited,0,12.0,Salaried,2,3,4,0,0,1,2.0,0,4,0,1,Executive,22439.0
3043,37.0,Self Enquiry,1,20.0,Salaried,2,2,3,0,1,0,6.0,0,2,1,1,Executive,20821.0
29,46.0,Self Enquiry,2,8.0,Small Business,1,1,2,2,2,2,4.0,0,1,0,1,VP,33947.0
1836,41.0,Company Invited,2,10.0,Small Business,2,1,2,1,1,3,2.0,0,2,1,0,Manager,24355.0
3358,56.0,Company Invited,0,15.0,Small Business,2,2,4,4,1,1,3.0,1,2,1,2,AVP,32255.0
3442,27.0,Self Enquiry,0,9.0,Small Business,2,2,4,0,0,3,2.0,0,2,0,1,Executive,22582.0
857,44.0,Self Enquiry,0,16.0,Salaried,2,2,2,0,0,2,2.0,1,2,1,2,Executive,17936.0
3513,29.0,Self Enquiry,0,7.0,Salaried,2,3,4,0,0,1,3.0,0,3,0,2,Executive,20241.0
217,29.0,Self Enquiry,0,6.0,Large Business,2,1,2,0,0,2,1.0,0,1,0,0,Executive,17058.0
2152,32.0,Company Invited,0,6.0,Salaried,1,2,3,0,1,1,7.0,0,2,0,2,Executive,17332.0
4520,35.0,Company Invited,0,23.0,Salaried,1,3,4,0,0,2,3.0,0,4,1,3,Executive,21231.0
1282,33.0,Self Enquiry,0,14.0,Salaried,2,1,0,0,2,1,7.0,0,2,1,1,Executive,18143.0
2685,33.0,Company Invited,2,33.0,Small Business,2,3,3,1,0,0,2.0,0,3,1,3,Manager,23143.0
2282,43.0,Company Invited,0,33.0,Salaried,1,1,2,3,2,1,1.0,0,3,1,0,Senior Manager,25820.0
3713,44.0,Self Enquiry,1,9.0,Salaried,2,3,3,0,0,3,2.0,0,0,0,1,Executive,22217.0
3112,29.0,Self Enquiry,0,16.0,Small Business,1,3,3,0,0,1,7.0,0,2,1,2,Executive,21055.0
4603,21.0,Self Enquiry,0,11.0,Large Business,2,2,3,0,2,3,3.0,0,2,1,1,Executive,21651.0
4400,38.0,Self Enquiry,2,9.0,Small Business,2,3,3,1,0,1,6.0,1,2,0,3,Manager,28280.0
705,39.0,Self Enquiry,2,8.0,Salaried,2,1,0,3,0,3,1.0,0,1,1,1,Senior Manager,22880.0
2304,34.0,Self Enquiry,2,15.0,Salaried,1,2,2,1,0,1,2.0,0,0,0,0,Manager,20714.0
3037,37.0,Self Enquiry,0,7.0,Salaried,1,2,3,1,1,0,2.0,0,4,0,1,Manager,23906.0
123,51.0,Self Enquiry,0,12.0,Salaried,2,1,2,2,0,2,1.0,0,4,1,0,VP,34537.0
508,35.0,Self Enquiry,0,12.0,Salaried,2,1,4,1,0,3,2.0,0,4,1,0,Manager,21646.0
4032,37.0,Self Enquiry,0,10.0,Salaried,1,2,3,0,0,1,7.0,0,0,0,2,Executive,21513.0
2062,47.0,Self Enquiry,0,8.0,Salaried,1,1,2,4,0,1,2.0,1,3,1,0,AVP,31752.0
825,29.0,Self Enquiry,0,14.0,Small Business,2,2,3,1,0,0,2.0,1,2,0,0,Manager,20056.0
1023,56.0,Self Enquiry,0,6.0,Salaried,1,1,2,0,2,0,3.0,0,4,1,1,Executive,17066.0
150,40.0,Company Invited,0,32.0,Small Business,1,1,2,1,1,1,2.0,0,1,1,0,Manager,20605.0
4373,42.0,Company Invited,0,9.0,Salaried,0,3,4,1,0,3,4.0,1,0,0,1,Manager,25489.0
2383,45.0,Self Enquiry,2,19.0,Small Business,2,1,0,4,0,2,7.0,1,2,1,0,AVP,33824.0
194,45.0,Company Invited,0,8.0,Small Business,2,2,3,4,0,0,1.0,0,3,1,0,AVP,31792.0
1770,41.0,Self Enquiry,2,8.0,Salaried,2,1,2,4,1,2,2.0,0,2,1,1,AVP,31015.0
616,51.0,Self Enquiry,2,32.0,Small Business,1,2,2,4,0,0,3.0,0,2,0,1,AVP,31307.0
4313,32.0,Self Enquiry,0,7.0,Salaried,2,3,4,0,2,1,3.0,0,3,1,2,Executive,20896.0
374,28.0,Self Enquiry,2,15.0,Salaried,2,2,2,1,0,2,2.0,0,2,1,0,Manager,20253.0
2753,32.0,Self Enquiry,0,12.0,Large Business,2,2,3,0,0,0,2.0,1,3,0,2,Executive,23499.0
3087,43.0,Self Enquiry,0,10.0,Salaried,1,3,1,1,0,0,4.0,1,4,0,1,Manager,23909.0
2446,38.0,Self Enquiry,0,9.0,Free Lancer,2,3,4,0,0,2,8.0,1,2,0,1,Executive,20768.0
1518,46.0,Company Invited,2,11.0,Small Business,2,2,2,1,0,2,5.0,1,4,1,1,Manager,20772.0
4689,44.0,Self Enquiry,2,32.0,Small Business,2,3,4,3,0,1,7.0,0,3,1,2,Senior Manager,29476.0
2812,41.0,Self Enquiry,2,29.0,Small Business,2,3,4,1,0,0,4.0,1,2,1,2,Manager,25058.0
1156,40.0,Self Enquiry,0,21.0,Salaried,1,2,3,3,0,1,2.0,0,0,1,1,Senior Manager,25435.0
295,42.0,Company Invited,2,32.0,Small Business,1,2,2,4,1,0,6.0,0,2,1,2,AVP,28525.0
4465,40.0,Self Enquiry,1,10.0,Salaried,1,2,1,1,1,1,2.0,0,0,0,1,Manager,25067.0
997,27.0,Self Enquiry,0,23.0,Salaried,1,1,2,0,0,2,2.0,1,4,1,0,Executive,17394.0
2439,48.0,Self Enquiry,2,8.0,Small Business,2,1,3,1,1,3,1.0,1,0,1,0,Manager,22898.0
1148,39.0,Self Enquiry,0,16.0,Small Business,2,2,2,1,2,1,3.0,0,4,1,2,Manager,20377.0
4344,36.0,Self Enquiry,0,29.0,Salaried,2,2,5,0,0,3,2.0,0,3,1,2,Executive,22908.0
2480,51.0,Self Enquiry,2,10.0,Small Business,2,2,4,0,0,0,3.0,1,3,0,1,Executive,21361.0
2988,48.0,Company Invited,2,10.0,Small Business,1,2,3,4,0,1,2.0,1,4,1,2,AVP,32448.0
870,35.0,Self Enquiry,2,23.0,Salaried,2,2,2,1,2,0,4.0,1,2,1,1,Manager,23966.0
3226,31.0,Self Enquiry,0,27.0,Salaried,2,2,3,1,2,0,2.0,0,3,1,1,Manager,28635.0
2084,26.0,Company Invited,0,11.0,Small Business,1,1,3,0,0,1,2.0,1,0,0,1,Executive,17366.0
575,54.0,Self Enquiry,0,25.0,Small Business,1,2,2,1,2,1,1.0,1,2,0,0,Manager,20485.0
3003,39.0,Self Enquiry,0,9.0,Small Business,2,3,3,0,0,0,8.0,1,3,0,1,Executive,21735.0
1501,44.0,Self Enquiry,0,16.0,Salaried,2,1,2,1,0,1,3.0,1,2,0,1,Manager,21465.0
1166,48.0,Company Invited,0,10.0,Small Business,2,1,3,4,0,1,3.0,0,4,1,1,AVP,30202.0
1803,43.0,Self Enquiry,0,13.0,Salaried,1,1,2,3,2,1,1.0,0,4,1,0,Senior Manager,24985.0
567,34.0,Self Enquiry,2,8.0,Salaried,2,1,2,1,0,2,2.0,0,4,0,0,Manager,21274.0
4374,27.0,Self Enquiry,2,36.0,Small Business,2,2,3,1,0,1,7.0,0,4,0,1,Manager,22984.0
3123,32.0,Company Invited,2,27.0,Small Business,1,2,3,1,0,0,3.0,0,1,1,1,Manager,25610.0
3553,31.0,Self Enquiry,2,36.0,Large Business,2,2,3,3,1,1,5.0,0,3,0,2,Senior Manager,27928.0
220,36.0,Self Enquiry,0,11.0,Salaried,2,2,2,1,1,2,1.0,0,1,0,2,Manager,20914.0
2663,55.0,Self Enquiry,2,10.0,Small Business,1,2,3,1,2,0,4.0,0,3,1,2,Manager,24618.0
1769,51.0,Self Enquiry,0,8.0,Small Business,2,1,4,1,1,1,6.0,0,0,0,1,Manager,20482.0
4728,41.0,Self Enquiry,0,21.0,Small Business,2,2,4,2,0,2,3.0,0,2,1,2,VP,38304.0
63,59.0,Self Enquiry,2,31.0,Salaried,1,1,2,3,2,3,1.0,0,2,1,0,Senior Manager,22637.0
1060,24.0,Company Invited,0,15.0,Small Business,2,1,2,0,2,2,3.0,1,2,0,1,Executive,18172.0
2331,46.0,Self Enquiry,2,8.0,Small Business,1,2,2,4,2,1,1.0,0,0,1,1,AVP,32048.0
91,51.0,Self Enquiry,2,27.0,Small Business,2,2,2,1,0,2,1.0,1,4,1,1,Manager,20441.0
1421,47.0,Company Invited,0,6.0,Small Business,1,2,2,3,1,1,1.0,0,4,0,0,Senior Manager,26957.0
3293,44.0,Self Enquiry,2,16.0,Small Business,0,2,5,1,0,3,2.0,0,1,1,2,Manager,24024.0
4549,36.0,Self Enquiry,0,16.0,Salaried,1,3,4,3,0,1,3.0,1,3,1,3,Senior Manager,29363.0
3403,41.0,Self Enquiry,0,9.0,Salaried,2,3,3,1,0,3,3.0,0,2,1,3,Manager,23339.0
1444,56.0,Self Enquiry,0,13.0,Large Business,2,2,2,0,0,1,1.0,0,3,1,2,Executive,17339.0
3466,38.0,Company Invited,0,12.0,Large Business,2,2,1,0,0,3,2.0,0,4,1,1,Executive,22178.0
1162,35.0,Self Enquiry,2,16.0,Small Business,2,1,3,3,2,1,1.0,0,4,1,1,Senior Manager,25306.0
1890,29.0,Self Enquiry,0,9.0,Small Business,2,2,3,3,0,1,2.0,0,0,0,2,Senior Manager,26935.0
4247,44.0,Self Enquiry,0,14.0,Salaried,1,2,3,3,2,1,2.0,0,4,1,1,Senior Manager,28663.0
2935,44.0,Company Invited,0,16.0,Small Business,2,3,3,1,0,1,5.0,1,2,1,1,Manager,24357.0
1478,38.0,Company Invited,0,29.0,Salaried,2,1,3,3,0,3,1.0,0,2,1,0,Senior Manager,24526.0
4638,25.0,Self Enquiry,0,24.0,Small Business,1,2,4,1,0,1,3.0,0,2,0,1,Manager,23055.0
197,42.0,Company Invited,0,27.0,Small Business,1,1,2,1,0,1,3.0,0,1,0,0,Manager,20265.0
1607,39.0,Self Enquiry,2,10.0,Salaried,1,1,3,1,0,1,5.0,0,4,1,1,Manager,20902.0
3447,26.0,Self Enquiry,0,7.0,Large Business,2,2,3,0,0,0,6.0,0,4,1,2,Executive,21907.0
1950,30.0,Company Invited,2,18.0,Salaried,2,2,3,0,2,1,2.0,0,4,1,2,Executive,17033.0
64,36.0,Self Enquiry,0,14.0,Large Business,1,1,2,3,0,1,2.0,0,3,1,1,Senior Manager,25096.0
1746,35.0,Self Enquiry,0,28.0,Salaried,1,2,0,3,1,1,1.0,0,4,1,2,Senior Manager,26996.0
272,28.0,Self Enquiry,0,15.0,Small Business,2,2,2,0,0,0,2.0,0,1,1,1,Executive,17070.0
2551,26.0,Self Enquiry,2,12.0,Small Business,2,2,4,1,0,3,3.0,1,2,1,1,Manager,24422.0
32,30.0,Self Enquiry,0,15.0,Small Business,2,1,3,0,0,2,2.0,0,3,1,1,Executive,17206.0
2163,36.0,Self Enquiry,2,9.0,Salaried,2,1,3,3,0,1,2.0,1,0,1,0,Senior Manager,25325.0
3776,30.0,Company Invited,0,31.0,Salaried,2,3,4,0,0,2,3.0,1,2,1,3,Executive,21117.0
1126,50.0,Self Enquiry,2,5.0,Small Business,2,1,2,2,0,1,5.0,1,4,0,1,VP,34331.0
265,29.0,Self Enquiry,2,8.0,Small Business,2,2,3,1,1,0,3.0,0,3,0,1,Manager,21644.0
4763,44.0,Self Enquiry,2,16.0,Small Business,0,2,5,1,0,3,2.0,0,0,0,1,Manager,24024.0
2689,32.0,Company Invited,0,10.0,Small Business,2,3,3,3,0,1,2.0,0,3,1,3,Senior Manager,32353.0
1097,24.0,Self Enquiry,0,27.0,Large Business,2,1,3,0,2,1,1.0,0,2,0,0,Executive,17296.0
2728,27.0,Company Invited,0,18.0,Small Business,2,2,3,1,2,0,3.0,1,2,1,2,Manager,23419.0
2416,40.0,Self Enquiry,0,14.0,Small Business,2,2,3,0,0,3,2.0,1,3,1,2,Executive,24094.0
3931,23.0,Company Invited,0,23.0,Small Business,2,3,1,0,0,1,3.0,1,2,0,3,Executive,21613.0
395,43.0,Company Invited,0,27.0,Small Business,2,2,2,0,0,0,1.0,0,3,0,2,Executive,17258.0
1398,33.0,Company Invited,0,13.0,Salaried,2,1,2,1,0,1,2.0,0,4,1,1,Manager,20968.0
2212,50.0,Self Enquiry,0,15.0,Salaried,2,2,2,0,0,1,5.0,0,4,1,2,Executive,17380.0
4078,28.0,Company Invited,0,10.0,Small Business,2,3,4,0,0,1,3.0,1,0,0,3,Executive,21244.0
1972,53.0,Self Enquiry,2,6.0,Small Business,1,1,2,1,2,3,1.0,0,0,1,1,Manager,23381.0
751,50.0,Company Invited,2,6.0,Salaried,1,2,2,1,0,0,1.0,0,1,1,1,Manager,21347.0
4831,35.0,Self Enquiry,0,24.0,Salaried,1,2,3,0,0,3,3.0,1,4,1,1,Executive,23216.0
3953,34.0,Company Invited,2,7.0,Salaried,1,2,1,1,2,1,4.0,0,2,0,2,Manager,24054.0
178,46.0,Self Enquiry,2,6.0,Small Business,1,2,2,3,2,1,2.0,0,1,1,1,Senior Manager,25453.0
2057,52.0,Self Enquiry,0,17.0,Salaried,1,1,2,1,0,1,1.0,0,0,1,0,Manager,18149.0
4177,47.0,Self Enquiry,2,9.0,Large Business,1,3,5,4,1,1,5.0,1,4,1,1,AVP,35550.0
2128,44.0,Self Enquiry,0,15.0,Salaried,2,2,2,0,2,1,2.0,1,2,1,0,Executive,17559.0
4570,33.0,Self Enquiry,0,32.0,Salaried,2,2,3,0,0,3,3.0,1,4,0,1,Executive,21473.0
1608,25.0,Self Enquiry,2,34.0,Salaried,2,1,3,1,0,1,3.0,0,3,1,1,Manager,23639.0
3660,44.0,Self Enquiry,2,9.0,Small Business,2,3,3,1,0,1,3.0,1,2,0,1,Manager,26525.0
55,33.0,Company Invited,0,6.0,Salaried,0,2,2,3,0,3,2.0,1,1,1,0,Senior Manager,28458.0
3386,37.0,Self Enquiry,0,17.0,Large Business,1,3,3,3,0,0,5.0,0,2,0,3,Senior Manager,25772.0
1141,30.0,Self Enquiry,0,13.0,Small Business,2,1,3,0,1,1,2.0,0,4,0,0,Executive,17141.0
3662,42.0,Self Enquiry,2,13.0,Small Business,2,2,3,3,0,3,3.0,0,4,1,1,Senior Manager,27919.0
1971,30.0,Company Invited,0,9.0,Small Business,1,2,2,0,0,1,2.0,0,2,1,1,Executive,17083.0
4814,37.0,Company Invited,0,10.0,Large Business,2,2,3,0,1,1,3.0,0,2,0,2,Executive,22370.0
2813,32.0,Self Enquiry,0,16.0,Salaried,2,2,4,0,1,3,2.0,1,2,1,1,Executive,21335.0
439,31.0,Company Invited,0,26.0,Salaried,2,2,2,3,0,0,4.0,0,2,1,0,Senior Manager,24824.0
3915,50.0,Company Invited,0,15.0,Salaried,2,3,4,1,1,1,3.0,0,0,0,1,Manager,23808.0
3944,34.0,Self Enquiry,0,9.0,Small Business,2,3,3,0,0,2,6.0,0,2,0,3,Executive,21174.0
4519,39.0,Company Invited,0,19.0,Salaried,2,1,4,1,2,1,4.0,0,4,1,1,Manager,24966.0
1342,34.0,Self Enquiry,2,10.0,Salaried,2,2,2,3,0,1,3.0,1,3,0,2,Senior Manager,24713.0
4261,48.0,Company Invited,2,11.0,Small Business,2,3,3,1,0,3,5.0,0,3,0,3,Manager,21654.0
754,33.0,Company Invited,2,14.0,Salaried,1,1,3,0,0,2,1.0,0,1,1,1,Executive,17342.0
4111,43.0,Company Invited,0,28.0,Small Business,1,2,3,1,0,1,4.0,0,0,0,1,Manager,23943.0
3898,46.0,Self Enquiry,2,27.0,Salaried,1,2,3,1,0,3,2.0,0,0,1,1,Manager,23528.0
4666,37.0,Self Enquiry,0,23.0,Salaried,1,2,1,0,2,3,3.0,0,0,1,1,Executive,21421.0
679,31.0,Company Invited,2,26.0,Small Business,1,1,2,1,0,0,2.0,0,1,1,0,Manager,21932.0
4297,23.0,Self Enquiry,0,18.0,Small Business,1,2,3,0,1,1,3.0,0,0,1,2,Executive,20922.0
3646,39.0,Self Enquiry,0,11.0,Small Business,1,2,3,0,0,1,2.0,0,4,0,1,Executive,21984.0
4362,41.0,Self Enquiry,0,13.0,Salaried,1,3,3,4,0,2,2.0,0,4,1,1,AVP,31915.0
672,42.0,Self Enquiry,2,20.0,Small Business,1,2,3,1,0,2,1.0,0,2,0,0,Manager,21244.0
313,33.0,Company Invited,0,11.0,Salaried,1,2,2,3,1,0,7.0,0,2,1,2,Senior Manager,26878.0
4008,33.0,Self Enquiry,2,13.0,Small Business,2,2,3,1,0,3,3.0,0,4,1,2,Manager,23688.0
2735,37.0,Self Enquiry,0,10.0,Large Business,2,1,3,1,1,3,6.0,0,1,1,1,Manager,23163.0
2018,43.0,Company Invited,2,21.0,Salaried,2,1,3,1,0,1,4.0,0,4,1,0,Manager,21804.0
1236,36.0,Self Enquiry,2,19.0,Small Business,2,2,3,1,2,1,6.0,1,0,1,0,Manager,21134.0
4212,37.0,Company Invited,0,25.0,Salaried,2,2,1,0,0,1,6.0,0,4,1,2,Executive,22366.0
2369,49.0,Self Enquiry,0,10.0,Small Business,2,1,3,2,0,1,3.0,0,2,0,1,VP,33711.0
1034,45.0,Self Enquiry,0,26.0,Small Business,2,2,4,3,2,1,3.0,1,2,0,0,Senior Manager,25851.0
4512,29.0,Self Enquiry,0,9.0,Small Business,2,2,3,0,0,3,8.0,0,2,1,2,Executive,23060.0
3289,41.0,Company Invited,0,33.0,Small Business,1,3,4,1,0,0,5.0,1,1,1,1,Manager,23100.0
3873,40.0,Self Enquiry,0,31.0,Salaried,2,2,3,1,0,3,2.0,0,3,1,1,Manager,22786.0
925,42.0,Self Enquiry,0,13.0,Small Business,1,2,0,1,1,0,7.0,1,0,0,0,Manager,17372.0
2975,33.0,Self Enquiry,0,10.0,Salaried,1,2,3,3,0,2,5.0,0,1,1,2,Senior Manager,29837.0
4201,39.0,Self Enquiry,0,30.0,Salaried,2,2,3,1,0,1,2.0,0,2,0,2,Manager,24423.0
358,36.0,Company Invited,2,6.0,Small Business,1,1,2,1,0,3,5.0,0,1,1,1,Manager,21653.0
3119,32.0,Self Enquiry,2,14.0,Salaried,2,2,4,0,0,0,5.0,0,3,1,2,Executive,21007.0
2201,20.0,Self Enquiry,0,17.0,Small Business,1,2,3,0,2,2,2.0,1,2,1,2,Executive,17600.0
166,41.0,Self Enquiry,0,20.0,Salaried,2,1,2,0,0,1,5.0,0,3,1,1,Executive,17451.0
1336,55.0,Self Enquiry,0,8.0,Large Business,2,2,3,0,0,1,1.0,0,4,0,0,Executive,17662.0
2478,25.0,Self Enquiry,0,7.0,Small Business,2,3,3,0,0,0,4.0,1,2,1,3,Executive,20971.0
3474,32.0,Self Enquiry,2,15.0,Salaried,2,2,3,3,0,1,3.0,0,2,1,1,Senior Manager,29471.0
3235,36.0,Self Enquiry,2,11.0,Large Business,2,2,3,3,2,3,2.0,1,3,1,2,Senior Manager,28260.0
324,30.0,Self Enquiry,0,34.0,Small Business,1,2,2,1,0,0,2.0,0,2,0,2,Manager,20775.0
1775,36.0,Company Invited,0,30.0,Salaried,1,1,2,1,1,1,1.0,0,2,1,1,Manager,20674.0
2901,19.0,Company Invited,2,12.0,Small Business,2,3,3,0,1,2,3.0,1,3,1,3,Executive,20556.0
4254,38.0,Self Enquiry,0,12.0,Small Business,2,3,3,1,0,1,2.0,0,2,1,3,Manager,25025.0
4754,36.0,Self Enquiry,0,7.0,Small Business,2,2,4,0,0,1,8.0,0,0,1,2,Executive,20936.0
1105,33.0,Self Enquiry,2,14.0,Salaried,2,1,2,1,2,1,3.0,0,4,1,0,Manager,21392.0
68,35.0,Company Invited,0,6.0,Small Business,2,2,2,0,2,0,5.0,0,1,0,1,Executive,17194.0
4398,32.0,Self Enquiry,2,13.0,Small Business,2,3,1,1,0,1,6.0,0,4,1,2,Manager,24138.0
